Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Swimmy,"Leo Lionni, Xosé Manuel González, Ignasi Centelles",A happy school of little fish lived in a corner of the sea somewhere.,"Children's fiction, Friendship, fiction, Picture books, Fishes, Juvenile fiction, Courage, Cooperation, Fear, fiction, Courage, fiction, Fishes, fiction, Swimmy, Leo Lionni, Caldecott Honor Book, Ocean, Sea Fish, Red, Black, Big, Large, Sea, Rock, Coral, Anemones, Seaweed, Sea life, Lobster, Eels, Tuna, Rainbow Jellyfish, Camouflage, Children, Age 3-7, Pre-K to 2, Children's, Juvenile, Fantasy, Fiction, Books, Picture book, Literature, Stories, Friends, Friendship, Leader, Leadership, Teamwork, Working together, Honor, Differences, Problem solving, collectionID:caldecotthonor60, Peces, Vocabulary, Readers, Spanish language, Ficción juvenil, Spanish language materials, Cuentos italianos, Materiales lectura en idioma espanol, Novela, Caldecott Medal, Fishes -- Fiction, award:Caldecott_award, lexile:690, lexile_range:601-700, age:min:2, age:max:6, grade:min:Preschool, grade:max:2",1963,No page count available,"jpn, kor, chi, eng, fre, ita, ger, spa",No rating,https://openlibrary.org/works/OL2162545W,https://covers.openlibrary.org/b/id/5017594-M.jpg
Player Piano,Kurt Vonnegut,"ILIUM, NEW YORK, is divided into three parts.","Fiction, Classic Literature, Mystery, Science Fiction & Fantasy, Utopias, Computers, Science fiction, Machinery, Engineers, Long Now Manual for Civilization, American fiction (fictional works by one author)",1952,No page count available,"ger, rus, eng",No rating,https://openlibrary.org/works/OL98484W,https://covers.openlibrary.org/b/id/280246-M.jpg
The Passage,Justin Cronin,No description available,"FICTION, MODERN & CONTEMPORARY FICTION (POST C 1945), HORROR & GHOST STORIES, SCIENCE FICTION, FANTASY, Vampire fiction, Novels, Medical fiction, Detective and mystery fiction, Suspense fiction, Thrillers, Science fiction genre, Epic fiction, monsters, diseases, fictional works, Human experimentation in medicine, Virus diseases, New York Times bestseller, nyt:trade_fiction_paperback=2011-05-14, Occult, Virals (Fictional Creatures), Supernatural, Epic, Horror, apocalyptic, Jumps (Fictional Creatures), Smokes (Fictional Creatures), dystopia, post apocalyptic, Epidemic, Flyers (Fictional Creatures), Suspense, American Fiction, Vampires, Vampires, fiction, Fiction, fantasy, epic, Fiction, dystopian, Fiction, thrillers, Fiction, horror, Fiction, thrillers, general, Large type books, Experiments, nyt:hardcover_fiction=2010-08-29, Romans, nouvelles, Expérimentation humaine en médecine, Maladies à virus, Vampiros, Novela, Virosis, Ciencia-ficción, Suspense & Thriller, Literary Fiction, Epic Fantasy, Horror fiction, Human experimentation in medicine Fiction, Mädchen, Menschenversuch, Unsterblichkeit, Zukunft, United states, fiction",2010,No page count available,"ita, fre, dut, spa, ger, eng",No rating,https://openlibrary.org/works/OL15168588W,https://covers.openlibrary.org/b/id/8261369-M.jpg
The Last Olympian,Rick Riordan,The end of the world started when a pegasus landed on the hood of my car.,"Fiction, Greek Mythology, Fate and fatalism, Titans (Mythology), Monsters, Mythical Animals, Juvenile fiction, Young Adult Fiction, Children's fiction, Monsters, fiction, Fantasy fiction, Animals, mythical, fiction, Adventure and adventurers, fiction, Large type books, Percy Jackson (Fictitious character), nyt:series_books=2007-07-21, New York Times bestseller, New York Times reviewed, Teenage boys, Mothers, School Library Journal Best Book of the Year (2005), Quests (Expeditions), Fathers and sons, Teenagers, Prophecies, Attention-deficit hyperactivity disorder, Dyslexics, Camps, Friendship, Single mothers, Greek Gods, Children's stories, Prophecy, Typhon (Greek mythology), Children's stories, American, Fantasy",2009,No page count available,"chi, por, spa, ger, eng",No rating,https://openlibrary.org/works/OL492642W,https://covers.openlibrary.org/b/id/6624107-M.jpg
The Emerald City of Oz,"L. Frank Baum, John R. Neill, Jenny Sánchez, The Gunston Trust, Skottie Young, Thomas Langois, Walt Spouse, Eric Shanower","IS HIS UNDERGROUND DOMINION, THE NOME KING, ROQUAT THE RED, WAS IN AN ANGRY MOOD","Juvenile fiction, Fiction, Oz (Imaginary place), Fantasy, Princess Ozma (Fictitious character), Children's fiction, Fantasy fiction, Oz (imaginary place), fiction, American Fantasy fiction, Large type books, American literature, Comic books, strips, Dorothy Gale (Fictitious character), Cartoons and comics, Comics & graphic novels, fantasy, Fiction, fantasy, general",1910,No page count available,eng,No rating,https://openlibrary.org/works/OL18409W,https://covers.openlibrary.org/b/id/1473556-M.jpg
The Book Of Three,"Alexander, Lloyd Alexander","Taran wanted to make a sword; but Coll, charged with the practical side of his education, decided on horseshoes.","Fantasy, Juvenile fiction, Swine, Celtic Mythology, Heroes, Good and evil, Prydain (Imaginary place), Fiction, Adventure and adventurers, Children's fiction, Adventure and adventurers, fiction, Fantasy fiction, Science fiction, Prydain (imaginary place), fiction, Orphans, fiction, Pigs, fiction, Welsh Mythology, Magic, Fairy tales, Taran (Fictitious character : Alexander)",1964,No page count available,"eng, und, pol",No rating,https://openlibrary.org/works/OL270887W,https://covers.openlibrary.org/b/id/580388-M.jpg
The Trumpet of the Swan,E. B. White,"Walking back to camp through the swamp, Sam wondered whether to tell his father what he had seen.","Cisnes, Ficción juvenil, Fiction, Juvenile fiction, Swans, Trumpeter swan, Children's stories, Stories, Children's fiction, Swans, fiction, Fiction, general, Cygnes, Romans, nouvelles, etc. pour la jeunesse, Trumpeter swans, Fantasy",1970,No page count available,"chi, spa, fre, eng",No rating,https://openlibrary.org/works/OL483387W,https://covers.openlibrary.org/b/id/50627-M.jpg
Men at Arms,Terry Pratchett,better than he did his own. He spent his lunch hours there.,"Discworld (Imaginary place), Fantasy, Fiction, Samuel Vimes (Fictitious character), Assassination, Theft, Fiction, fantasy, general, Discworld (imaginary place), fiction, Carrot (fictitious character : pratchett), fiction, Fiction, humorous, English Fantasy fiction, Translations into Dutch, Fiction, humorous, general, Bk. 15, Discworld",1993,No page count available,"chi, fre, dut, spa, ger, pol, eng",No rating,https://openlibrary.org/works/OL453739W,https://covers.openlibrary.org/b/id/14648019-M.jpg
The Return of Tarzan,Edgar Rice Burroughs,"MAGNIFIQUE!"" ejaculated the Countess de Coude, beneath her breath.","Open Library Staff Picks, Fiction, Tarzan (Fictitious character), Classic Literature, Juvenile Fiction, Non-Classifiable, Wild men, British, Fiction, action & adventure, Tarzan (fictitious character), fiction, Africa, fiction, Fiction, fantasy, general, Large type books, Fiction, general",1915,No page count available,"eng, spa, und",No rating,https://openlibrary.org/works/OL1418249W,https://covers.openlibrary.org/b/id/8239514-M.jpg
Reaper Man,Terry Pratchett,The Morris dance is common to all inhabited worlds in the multiverse.,"Fiction, humorous, Fiction, fantasy, general, Discworld (imaginary place), fiction, English literature, Fiction, Discworld (Imaginary place), Death, Fantasy, Fiction, thrillers, general, Death (fictitious character : pratchett), fiction, Fiction, humorous, general",1991,No page count available,"fre, cze, rus, spa, ger, eng",No rating,https://openlibrary.org/works/OL453654W,https://covers.openlibrary.org/b/id/14648856-M.jpg
A Storm of Swords,George R. R. Martin,"An east wind blew through his tangled hair, as soft and fragrant as Cersei's fingers.","New York Times bestseller, nyt:mass_market_paperback=2011-06-04, Seven Kingdoms (Imaginary place), Fiction, Fantasy fiction, Imaginary wars and battles, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fiction, fantasy, epic, Seven kingdoms (imaginary place), fiction, Imaginary places, Good and evil, Paranormal fiction, Monarchy, Kings and rulers, Magic, Winter, Supernatural, Ficción, Magia, Spanish language materials, Novela, Lugares imaginarios, Fantasy, Fiction, fantasy, general, American literature, Courts and courtiers",2000,No page count available,"chi, fre, vie, por, spa, eng",No rating,https://openlibrary.org/works/OL257914W,https://covers.openlibrary.org/b/id/932-M.jpg
Pebble in the Sky,Isaac Asimov,"Two minutes before he dissappeared from the face of the Earth he knew, Joseph Schwartz strolled along the pleasant streets of suburban Chicago quoting Browning to himself.","Fiction in English, American Science fiction, Science fiction, Dystopias, Time travel, Fiction, Fiction, science fiction, general, Space and time, Romans, nouvelles, American Fantasy fiction, Adventure stories, Time",1950,No page count available,"chi, por, ger, fre, eng, ita",No rating,https://openlibrary.org/works/OL46402W,https://covers.openlibrary.org/b/id/6550102-M.jpg
How the Grinch Stole Christmas!,"Dr. Seuss, Rik Mayall",Every Who Down in Who-ville Liked Christmas a lot...,"Christmas stories.sh, Pictorial works, Juvenile fiction, Children's stories.sh, Christmas stories, Christmas, Behavior, fiction, Christmas, fiction, Children's fiction, Stories in rhyme, Grinch (fictitious character), fiction, Fantasy, Noël, Histoires rimées, Fiction, Contes, Latin language materials, Ouvrages illustrés, Grinch (Fictitious character), Fantasy fiction, Spanish language materials, Children's stories, American Christmas stories, Translations into Latin, Coloring books, Child and youth fiction, Humorous stories, Nonsense verses",1957,No page count available,"eng, lat, spa, ger",No rating,https://openlibrary.org/works/OL261169W,https://covers.openlibrary.org/b/id/12055-M.jpg
White oleander,"Fitch, Janet","THE SANTA ANAS blew in hot from the desert, shriveling the last of the spring grass into whiskers of pale straw.","Fiction, Foster children, Mothers and daughters, Women murderers, Young women, Children of prisoners, Psychology, Fantasy, Littérature américaine, Bildungsromans, Fiction, general, Mothers and daughters, fiction, Los angeles (calif.), fiction, Young women, fiction, Large type books, Women murderers -- Fiction, New York Times reviewed",1989,No page count available,"fre, eng",No rating,https://openlibrary.org/works/OL48010W,https://covers.openlibrary.org/b/id/6575487-M.jpg
Jonathan Strange and Mr. Norrell,Susanna Clarke,SOME YEARS AGO there was in the city of York a society of magicians.,"England, fiction, Fiction, historical, Fiction, historical, general, Literature, award:hugo_award=2005, Fantasy fiction, Fairies, Fiction, Hugo Award Winner, Fantasy, Magicians, Teacher-student relationships, award:hugo_award=novel, Historical fiction, Teacher-student relationship, Magic, London (england), fiction, Fiction, fantasy, historical, Teachers, fiction, Great britain, fiction, History",2001,No page count available,"spa, chi, eng, swe",No rating,https://openlibrary.org/works/OL5703422W,https://covers.openlibrary.org/b/id/525391-M.jpg
