Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Drop Zone,Andy McNab,"Ethan Blake is seventeen and desperate to escape from his dead-end life. Soon, Ethan is caught up in the adrenaline-fuelled world of skydiving. He's a natural, so it's no surprise when he's invited to join an elite skydive team, but is he signing up for more than just jumping out of planes?",Action,2010,290,en,No rating,http://books.google.co.in/books?id=Ku_9GvyeSjAC&dq=subject:action&hl=&cd=40&source=gbs_api,http://books.google.com/books/content?id=Ku_9GvyeSjAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
February,"Gabrielle Lord, Rebecca Young","Cal's old life ended as soon as the deadly 365-day countdown began. So far he's been attacked by sharks, blamed for a vicious assault on his family, kidnapped by two criminal gangs, and left to drown in a fast-filling oil tank . . . He's a hunted fugitive who'll do anything to survive. But is Cal desperate enough to befriend a traitor with killer connections? Or risk returning to the scene of his attempted murder? Should he meet with a mysterious informant, when it could be a set-up? Callum Ormond has been warned. He has 334 days. The countdown continues...",Australia,2010,183,en,No rating,http://books.google.co.in/books?id=7rfgNwAACAAJ&dq=subject:action&hl=&cd=41&source=gbs_api,http://books.google.com/books/content?id=7rfgNwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Action,Martin Barker,No description available,Comics & Graphic Novels,1990,296,en,No rating,http://books.google.co.in/books?id=SpjaAAAAMAAJ&dq=subject:action&hl=&cd=42&source=gbs_api,http://books.google.com/books/content?id=SpjaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Insatiate Archer,Hunter Taylor,"""In the mists of time, when the line between superstition and reality has not been drawn, war rages between the new religion and the old. And the ferocious battle for hearts and souls is fought in flames and innocent blood. Gentle but deadly Susanna with her startling, differently coloured eyes is a witch, a High Priestess of the druidic groves, struggling to embrace the best of Christianity. But the monstrous Yellow Curate will stop at no evil to rid the world of her and her ancient beliefs. Hunter Taylor seamlessly joins 14th Century fact, myth and magic to take her reader on a breathtaking odyssey through a land in the birth pangs of change, where Susanna is never more than a footstep ahead of the sadistic cleric obsessed with her destruction. And behind every tree, every crumbling stone wall, every wooded hill, the Insatiate Archer lies in wait, caring little whose heart his next arrow will pierce. Hunter Taylor's immaculate research and magical writing style create a dazzling reality we may only before have experienced in our dreams and our nightmares. Insatiate Archer is a novel of harsh truths in the most cruel of times, sometimes hard to bear as you tear through its pages. It is not a book for the faint-hearted."" --Publisher.",Fiction,2007-03,270,en,No rating,http://books.google.co.in/books?id=bN0JtAEACAAJ&dq=subject:action&hl=&cd=43&source=gbs_api,http://books.google.com/books/content?id=bN0JtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tangshan Tigers,Dan Lee,"The Tangshan Tigers are back in training and ready for a break from solving crimes. But when their head teacher, Mr Wu, starts acting suspiciously, the Tigers smell a rat and know it�s up to them to solve the sinister case. Can they uncover the mystery of Mr Wu before the school�s reputation is ruined . . . forever?",Juvenile Fiction,2008-09-04,82,en,No rating,http://books.google.co.in/books?id=bPOYH37FAE8C&dq=subject:action&hl=&cd=44&source=gbs_api,http://books.google.com/books/content?id=bPOYH37FAE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Revenge,Gabrielle Lord,"Cal's life is finally getting back to normal. He's living back at home with his mum and Gabbi, but the paparazzi still follow him everywhere. One night, Cal hosts a midnight movie marathon with his friends, which turns into a nightmare when they receive a mysterious message-You have 30 days. The hunt is on again!",Fugitives from justice,2011,192,en,No rating,http://books.google.co.in/books?id=FBKlygAACAAJ&dq=subject:action&hl=&cd=45&source=gbs_api,http://books.google.com/books/content?id=FBKlygAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Deep Space Hijack,Scott Sonneborn,"When astronauts crash on Pluto, the Man of Steel soars towards the dwarf planet, towing a rescue vehicle. Soon he discovers that Jimmy Olsen has hitched a ride, but that's not Superman's biggest problem.",Action,2010,57,en,No rating,http://books.google.co.in/books?id=hd9sEAAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=46&source=gbs_api,http://books.google.com/books/content?id=hd9sEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Taking the Dream Spinner,Thomas Belisle,"The author of Raptor Bloom brings you the second action-packed thriller in the Matt ""Ace"" Black series. Known by his fighter-pilot call sign ""Ace,"" he has tasted combat and is skilled at confronting and defeating the enemy-at least while streaking through the sky in a heavily armed military aircraft. But the situation Matt Black finds himself in now is very different. He should have picked up on the indicators from the moment he stepped foot on the luxury cruise ship. A last-minute senior officer crew change. An odd discovery on a private vacation island. An unprecedented itinerary change while underway. Mysterious activity in a strange port. Crew behavior that just doesn't make sense. And the impossible appearance of a ghost from his past. Now he finds himself captive to terrorists in the middle of the Caribbean, a pawn, like the other three thousand passengers, and caught in a deadly game of geopolitical gamesmanship. He has to confront a particular kind of evil nobody expected and protect himself and his family. It will tax every ounce of his strength, ingenuity, and luck to stop them-and prevent disaster.",Uncategorized,2021-05-26,320,en,No rating,http://books.google.co.in/books?id=6Sx2zgEACAAJ&dq=subject:action&hl=&cd=47&source=gbs_api,http://books.google.com/books/content?id=6Sx2zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Princess in Black, Books 1-3","Shannon Hale, Dean Hale","Collection of 3 books from the Princess in black series by Shannon Hale. Includes The princess in black, The perfect princess party, and The hungry bunny horde.",Juvenile Fiction,2016-02-09,0,en,No rating,http://books.google.co.in/books?id=cruOEAAAQBAJ&dq=subject:action&hl=&cd=48&source=gbs_api,http://books.google.com/books/content?id=cruOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Boys' Book,"Dominique Enright, Guy Macdonald","Here is the book that every boy, young and old, has been waiting for. Find out how to be the best at everything. Hours of fun guaranteed. Beat the rest. Be the best.",Amusements,2007,128,en,No rating,http://books.google.co.in/books?id=kyehAwAACAAJ&dq=subject:action&hl=&cd=49&source=gbs_api,http://books.google.com/books/content?id=kyehAwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Now You See Me 2,Woody Harrelson,"NOW YOU SEE ME pits an elite FBI squad in a game of cat and mouse against ""The Four Horsemen"", a super-team of the world's greatest illusionists. The Four Horsemen pull off a series of daring heists against corrupt business leaders during their performances, showering the stolen profits on their audience while staying one step ahead of the law.",Action,2016,0,en,No rating,http://books.google.co.in/books?id=_vx7zwEACAAJ&dq=subject:action&hl=&cd=50&source=gbs_api,No thumbnail available
Moana Junior Novelization,"Random House Disney, Suzanne Francis","A spirited teenager on an impossible mission to fulfill her ancestors' quest. In the ancient South Pacific world of Oceania, Moana, a born navigator, sets sail in search of a fabled island. During her incredible journey, she teams up with her hero, t",Action,2016-10-04,0,en,No rating,http://books.google.co.in/books?id=wEX5DAEACAAJ&dq=subject:action&hl=&cd=51&source=gbs_api,http://books.google.com/books/content?id=wEX5DAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
