Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Hornet's Nest,Patricia Daniels Cornwell,"Provides a look inside the Charlotte police department by following the experiences of three members of the force and witnessing the tension, heartbreak, and heroics of everyday police work.",Fiction,1996,392,en,3,http://books.google.co.in/books?id=ebPEo9F2-AoC&dq=subject:mystery&hl=&cd=83&source=gbs_api,http://books.google.com/books/content?id=ebPEo9F2-AoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Where are the Children?,Mary Higgins Clark,A mother is accused in the gruesome deaths of her two children.,Fiction,1992,302,en,No rating,http://books.google.co.in/books?id=dMqZApJxWUMC&dq=subject:mystery&hl=&cd=87&source=gbs_api,http://books.google.com/books/content?id=dMqZApJxWUMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Purr-fect Crime,"Martin Harry Greenberg, Carol-Lynn Rossel Waugh, Isaac Asimov","Unique collection of murder crimes muse of humanity's ancient companion, the cat.",Fiction,1996-03,296,en,No rating,http://books.google.co.in/books?id=kbii-UpExuMC&dq=subject:mystery&hl=&cd=89&source=gbs_api,http://books.google.com/books/content?id=kbii-UpExuMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Mystery of Smugglers Cove,Franklin Dixon,"Originally published: New York: Simon & Schuster, c1980.",Juvenile Fiction,1988,180,en,No rating,http://books.google.co.in/books?id=ueMIiLxq_NwC&dq=subject:mystery&hl=&cd=90&source=gbs_api,http://books.google.com/books/content?id=ueMIiLxq_NwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Thanksgiving Surprise,Carolyn Keene,"When Nancy's family has company for the holidays, a gold ring disappears and Nancy has to find it.",Juvenile Fiction,1995,84,en,No rating,http://books.google.co.in/books?id=8sBSieRYwskC&dq=subject:mystery&hl=&cd=91&source=gbs_api,http://books.google.com/books/content?id=8sBSieRYwskC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cry Wolf,Wilbur Smith,"The year is 1935, shortly before orld War II. From the sea to the schorching deserts of Africa to the peaks of it's treacherous mountains, where a dramatic struggle to stay alive awaits them ...",Fiction,2001-12-09,484,en,4,http://books.google.co.in/books?id=TMgBNRU5JfAC&dq=subject:mystery&hl=&cd=92&source=gbs_api,http://books.google.com/books/content?id=TMgBNRU5JfAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Redeemer,Jo Nesbø,"As Christmas approaches, Detective Harry Hole investigates the murder of a Salvation Army singer, who turns out to have been shot by mistake.",Fiction,2009,578,en,No rating,http://books.google.co.in/books?id=6f9ptI-MU3sC&dq=subject:mystery&hl=&cd=94&source=gbs_api,http://books.google.com/books/content?id=6f9ptI-MU3sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
While My Pretty One Sleeps,Mary Higgins Clark,Gossip columnist Ethel Launbston is murdered and boutique owner Neeve Kearny is plunged into a tangled web not realizing that her own life is threatened.,Fiction,1990,404,en,No rating,http://books.google.co.in/books?id=kACVG3_d3jYC&dq=subject:mystery&hl=&cd=95&source=gbs_api,http://books.google.com/books/content?id=kACVG3_d3jYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Case of Need,"Michael Crichton, Jeffrey Hudson","A Case of Need is Michael Crichton's award-winning debut novel, written shortly after he completed his medical internship. Set against the ever-building pressure and pace of a large Boston medical center, the tensions flare-and explode-when a surgical operation tragically ends in death, raising countless questions. Was it accidental malpractice? A violation of the Hippocratic oath? Or cold-blooded murder?",Fiction,1969,420,en,No rating,http://books.google.co.in/books?id=3aks3qXGj08C&dq=subject:mystery&hl=&cd=96&source=gbs_api,http://books.google.com/books/content?id=3aks3qXGj08C&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Dangerous Fortune,Ken Follett,"A great family of merchant bankers, infected by the poison of ambition and greed. For the Pilasters, sex and love are weapons in a war for power and wealth. One explosive secret becomes the weak link that can bring down a dynasty. In 1866, tragedy strikes at an exclusive public school. A pupil drowns in a mysterious accident involving several boys. Among them ate young High Pilaster; his cousin Edward, the weak, dissolute heir to the Pilaster banking fortune; and Micky Miranda, the darkly handsome son of a brutal South American landowner. The drowning and its aftermath initiate a spiralling circle of treachery that will last three decades and entwine many lives... Spanning the years when an empire tightens its grip on a faraway world and revolution begets a tide of violent change, A Dangerous Fortune portrays a family bound inexorably by a shared legacy, and brings us men and women swept towards a perilous climax where greed, fed by the shocking truth of a boy’s death, must be stopped – otherwise not just one man’s dreams, but those of a nation, will die.",Detective and mystery stories,1993,434,en,No rating,http://books.google.co.in/books?id=xZ6gPwAACAAJ&dq=subject:mystery&hl=&cd=97&source=gbs_api,http://books.google.com/books/content?id=xZ6gPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Death Comes as the End,Agatha Christie,"Seeking peace after her husband's death, the Ka-priest's daughter Renisenb returns to her father's house on the banks of the Nile. But beneath the calm surface of his prosperous household lurk greed, lust and hate. When the grisly death of the beautiful and venomous concubine Nofret is dismissed as fate, Renisenb becomes increasingly convinced that the source of evil lurks within - and watches as the family's passion explode in murder!",Detective and mystery stories,1993,219,en,No rating,http://books.google.co.in/books?id=DEZ-wQEACAAJ&dq=subject:mystery&hl=&cd=98&source=gbs_api,http://books.google.com/books/content?id=DEZ-wQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
