Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
Medieval English Verse,Unknown Author,"Short narrative poems, religious and secular lyrics, and moral, political, and comic verses are all included in this comprehensive collection of works from the thirteenth and fourteenth centuries.",Poetry,1973-06-28,266,en,No rating,http://books.google.co.in/books?id=_krTh-GQmFMC&printsec=frontcover&dq=subject:poetry&hl=&cd=95&source=gbs_api,http://books.google.com/books/content?id=_krTh-GQmFMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Odyssey,Samuel Butler,"* This e-book publication is unique which includes exclusive Introduction, Historical Background and handcrafted additional content.* This edition also includes detailed Biography, Notes.* A new table of contents with working links has been included by a publisher.* This edition has been corrected for spelling and grammatical errors.",Uncategorized,2013-10-27,280,en,No rating,http://books.google.co.in/books?id=yFG7rQEACAAJ&dq=subject:poetry&hl=&cd=96&source=gbs_api,No thumbnail available
The Legend Of Sigurd And Gudrún,"J.R.R. Tolkien, Christopher Tolkien","Many years ago, J.R.R. Tolkien composed his own version of the great legend of Northern antiquity, recounted here in The Legend of Sigurd and Gudrún. In the Lay of the Völsungs is told the ancestry of the great hero Sigurd, the slayer of Fáfnir, most celebrated of dragons; of his awakening of the Valkyrie Brynhild, who slept surrounded by a wall of fire, and of their betrothal; and of his coming to the court of the great princes who were named the Niflungs (or Nibelungs), with whom he entered into blood-brotherhood. In scenes of dramatic intensity, of confusion of identity, thwarted passion, jealousy, and bitter strife, the tragedy of Sigurd and Brynhild, of Gunnar the Niflung and Gudrún his sister, mounts to its end in the murder of Sigurd, the suicide of Brynhild, and the despair of Gudrún. The Lay of Gudrún recounts her fate after the death of Sigurd, her marriage against her will to the mighty Atli, ruler of the Huns (the Attila of history), his murder of her brothers, and her hideous revenge.",Fiction,2012-02-15,233,en,3,http://books.google.co.in/books?id=A5sml5DtK4kC&dq=subject:poetry&hl=&cd=97&source=gbs_api,http://books.google.com/books/content?id=A5sml5DtK4kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Kissed It Away,Larry Duce Cobb,"Kissed It Away Kissed it away Falling down tear That was supposed to stay Love kissed it away It’s soothing to the soul Knowing and understanding Love’s more precious than gold When truth of love is told Memory serves well Where Mama would show it When we fell along the way Her love would have Kissed it away January 22, 2009",Poetry,2018-11-27,223,en,No rating,http://books.google.co.in/books?id=sHl-DwAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=98&source=gbs_api,http://books.google.com/books/content?id=sHl-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Life Could Be Verse,Kirk Douglas,"Discover the life and lines of Spartacus. . . He is Spartacus. And a whole lot more. That rugged chin. Those broad shoulders. A swag epitomized in epic films such as Spartacus and The Bad and the Beautiful. Crowned one of greatest actors of all time, Kirk Douglas, whose son Michael continues to build on his Hollywood legacy, is more than legendary. He's a husband. A father. A philanthropist. A Renaissance man. At 97 years old, Kirk Douglas has embraced many roles. But poet? Playing on his Yiddish roots, Life Could Be Verse--not worse--gives readers the best seat in the house to the intimate world of an acclaimed actor who has turned the silver screen gold. But his poems transcend pentameters--they are nostalgic celebrations of old Hollywood, of timeless lessons in life and love, reflecting an era when people had few coins in their pockets but an abundance of hope in the promise of the American dream. Through poems, prose, and photographs, Douglas candidly shares it all as he chaperones us through the stages of his life, including the untimely death of his youngest son and the stroke that left him unable to speak. Still, Douglas doesn't dwell in the sadness. Instead, he tantalizes us with his words, his perspective on life, and some never-before-seen photographs and stories of Marlene Dietrich, Lauren Bacall, Brigitte Bardot and his most cherished leading lady of all, his wife of sixty years, Anne Buydens. Life Could Be Verse is uncomplicated yet revealing, poignant yet playful. It's the life and the lines of Spartacus-an uplifting reminder that many times the story of our lives is the most entertaining script of all. (The following is an original poem Kirk wrote about his famous son Michael Douglas): Fathers and Sons ""Am I a good father?'"" I asked my son He took a pause, too long for me I waited and waited for him to answer And finally he said, ""Ultimately."" But the pause was all I heard The silence was so loud I was waiting for some kind word Something that would make me proud. How could I have been so dumb? And I never heard The answer in the pause, When he spoke not a word. I became a ""good father,"" It took me too long to see, When I needed him More than he needed me.",Biography & Autobiography,2014-12-02,120,en,No rating,http://books.google.co.in/books?id=k9IkBQAAQBAJ&printsec=frontcover&dq=subject:poetry&hl=&cd=99&source=gbs_api,http://books.google.com/books/content?id=k9IkBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Ballad of Reading Gaol,Oscar Wilde,"Oscar Wilde was a major celebrity in the late Victorian era. He was an Irish playwright, novelist, poet, and short story writer. His works are known for their caustic wit. Wilde spent two years in a hard labor prison after being convicted of gross indecency. Ballad of Reading Gaol is a poem, published in 1898. The poem tells the story of the hanging of a murderer, Charles Thomas Wooldridge, while Wilde was himself a convict. It concludes with a plea for Christ's forgiveness and protest against prison conditions.",Poetry,2009-08,60,en,No rating,http://books.google.co.in/books?id=7ihtQAAACAAJ&dq=subject:poetry&hl=&cd=100&source=gbs_api,http://books.google.com/books/content?id=7ihtQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Vision; Or, Hell, Purgatory and Paradise of Dante Alighieri","Dante Alighieri, Henry Francis Cary, John Flaxman","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Uncategorized,2015-10-21,664,en,No rating,http://books.google.co.in/books?id=Va4ejwEACAAJ&dq=subject:poetry&hl=&cd=101&source=gbs_api,http://books.google.com/books/content?id=Va4ejwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Leaves of Grass (Annotated),Walt Whitman,"Differentiated book- It has a historical context with research of the time-Leaves of Grass, Leaves of Grass, is a magnificent poems where you look not because it is from Walt Whitman but because it is Walt Whitman in itself; it is because he was born of him and grew up with him, because in his first edition he had only 12 poems and in the ninth and last one he exceeded 380, because Whitman began to write Leaves of Grass when he began to be a poet and was revising and feeding him, making him grow at the same pace he grew as a poet and as a person, as a human being.The truth is that Leaves of Grass is something like Whitman's son, a child made of verses that saw the light in his first edition with only 12 poems; to that first edition followed eight more throughout the life of the poet, eight editions that not only added poems but also reviewed those already published, corrected verses, added some, removed others or even made complete poems disappear. Leaves of Grass is not just a poems, they are nine, created one over the other although it is important to keep in mind that, in its latest edition, Whitman added a note recommending that edition over all others.Oh me, life! All these questions assail me, From the endless parade of the disloyal,",Uncategorized,2021-04-09,452,en,No rating,http://books.google.co.in/books?id=AZJlzgEACAAJ&dq=subject:poetry&hl=&cd=102&source=gbs_api,http://books.google.com/books/content?id=AZJlzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Poems of Jerusalem,Yehuda Amichai,No description available,Literary Criticism,1988,152,en,No rating,http://books.google.co.in/books?id=S3QOAAAAYAAJ&dq=subject:poetry&hl=&cd=103&source=gbs_api,http://books.google.com/books/content?id=S3QOAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Inferno,"Dante Alighieri, Perry Boyd, Henry Wadsworth Longfellow",No description available,Uncategorized,2010-05-01,No page count available,en,No rating,http://books.google.co.in/books?id=lc_lSQAACAAJ&dq=subject:poetry&hl=&cd=104&source=gbs_api,http://books.google.com/books/content?id=lc_lSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
